offset,PCs In Normal Form,NEXTPc,Scale Degrees,file,Composer,Piece,Time Signature,Key,Mode,NEXTChord,PC1,SetClass,SetClassBigram,SDBigram
17,"[7, 11, 2]","[9, 0, 4]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",7,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[7, 11, 2]_[9, 0, 4]"
18,"[9, 0, 4]","[7, 11, 2]","[9, 0, 4]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",9,"[0, 3, 7]","[0, 3, 7]_10_[0, 4, 7]","[9, 0, 4]_[7, 11, 2]"
19,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
20,"[0, 4, 7]","[4, 7, 11]","[0, 4, 7]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,"[4, 7, 11]",0,"[0, 4, 7]","[0, 4, 7]_4_[0, 3, 7]","[0, 4, 7]_[4, 7, 11]"
21,"[4, 7, 11]",x,"[4, 7, 11]",bach.jesu,bach,.jesu,"[4, 1, 0.5]",0,Major,x,4,"[0, 3, 7]","[0, 3, 7]_8_[0, 4, 7]","[4, 7, 11]_[0, 4, 7]"
0,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
1,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
2,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
3,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
4,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
5,"[5, 9, 0]","[7, 11, 2]","[5, 9, 0]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",5,"[0, 4, 7]","[0, 4, 7]_2_[0, 4, 7]","[5, 9, 0]_[7, 11, 2]"
6,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
7,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
8,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
9,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
10,"[7, 11, 2]","[9, 0, 4]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",7,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[7, 11, 2]_[9, 0, 4]"
11,"[9, 0, 4]","[5, 9, 0]","[9, 0, 4]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",9,"[0, 3, 7]","[0, 3, 7]_8_[0, 4, 7]","[9, 0, 4]_[5, 9, 0]"
12,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
13,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
14,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
15,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
16,"[7, 11, 2]","[4, 7, 11]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[4, 7, 11]",7,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[7, 11, 2]_[4, 7, 11]"
17,"[4, 7, 11]","[9, 0, 4]","[4, 7, 11]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",4,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[4, 7, 11]_[9, 0, 4]"
18,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
19,"[2, 5, 9]","[7, 11, 2]","[2, 5, 9]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",2,"[0, 3, 7]","[0, 3, 7]_5_[0, 4, 7]","[2, 5, 9]_[7, 11, 2]"
20,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
21,"[0, 4, 7]","[11, 2, 5]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",0,"[0, 4, 7]","[0, 4, 7]_11_[0, 3, 6]","[0, 4, 7]_[11, 2, 5]"
22,"[11, 2, 5]","[0, 4, 7]","[11, 2, 5]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",11,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[11, 2, 5]_[0, 4, 7]"
23,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
24,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
25,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
26,"[9, 0, 4]","[5, 9, 0]","[9, 0, 4]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",9,"[0, 3, 7]","[0, 3, 7]_8_[0, 4, 7]","[9, 0, 4]_[5, 9, 0]"
27,"[5, 9, 0]","[0, 4, 7]","[5, 9, 0]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",5,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[5, 9, 0]_[0, 4, 7]"
28,"[0, 4, 7]","[9, 0, 4]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",0,"[0, 4, 7]","[0, 4, 7]_9_[0, 3, 7]","[0, 4, 7]_[9, 0, 4]"
29,"[9, 0, 4]","[0, 4, 7]","[9, 0, 4]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",9,"[0, 3, 7]","[0, 3, 7]_3_[0, 4, 7]","[9, 0, 4]_[0, 4, 7]"
30,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
31,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
32,"[0, 4, 7]",x,"[0, 4, 7]",bach.kindlein,bach,dlein,"[4, 1, 0.5]",0,Major,x,0,"[0, 4, 7]","[0, 4, 7]_0_[0, 4, 7]","[0, 4, 7]_[0, 4, 7]"
0,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
1,"[7, 11, 2]","[11, 2, 5]","[7, 11, 2]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",7,"[0, 4, 7]","[0, 4, 7]_4_[0, 3, 6]","[7, 11, 2]_[11, 2, 5]"
2,"[11, 2, 5]","[0, 4, 7]","[11, 2, 5]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",11,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[11, 2, 5]_[0, 4, 7]"
3,"[0, 4, 7]","[8, 0, 3]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[8, 0, 3]",0,"[0, 4, 7]","[0, 4, 7]_8_[0, 4, 7]","[0, 4, 7]_[8, 0, 3]"
4,"[8, 0, 3]","[9, 0, 4]","[8, 0, 3]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",8,"[0, 4, 7]","[0, 4, 7]_1_[0, 3, 7]","[8, 0, 3]_[9, 0, 4]"
5,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
6,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
7,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
8,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
9,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
10,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
11,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
12,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
13,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
14,"[2, 5, 9]","[9, 0, 4]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[9, 0, 4]",2,"[0, 3, 7]","[0, 3, 7]_7_[0, 3, 7]","[2, 5, 9]_[9, 0, 4]"
15,"[9, 0, 4]","[2, 5, 9]","[9, 0, 4]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",9,"[0, 3, 7]","[0, 3, 7]_5_[0, 3, 7]","[9, 0, 4]_[2, 5, 9]"
16,"[2, 5, 9]","[6, 9, 0]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",2,"[0, 3, 7]","[0, 3, 7]_4_[0, 3, 6]","[2, 5, 9]_[6, 9, 0]"
17,"[6, 9, 0]","[5, 9, 0]","[6, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",6,"[0, 3, 6]","[0, 3, 6]_11_[0, 4, 7]","[6, 9, 0]_[5, 9, 0]"
18,"[5, 9, 0]","[11, 2, 5]","[5, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[11, 2, 5]",5,"[0, 4, 7]","[0, 4, 7]_6_[0, 3, 6]","[5, 9, 0]_[11, 2, 5]"
19,"[11, 2, 5]","[0, 4, 7]","[11, 2, 5]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",11,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[11, 2, 5]_[0, 4, 7]"
20,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
21,"[2, 5, 9]","[0, 4, 7]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",2,"[0, 3, 7]","[0, 3, 7]_10_[0, 4, 7]","[2, 5, 9]_[0, 4, 7]"
22,"[0, 4, 7]","[5, 9, 0]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[5, 9, 0]",0,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[0, 4, 7]_[5, 9, 0]"
23,"[5, 9, 0]","[6, 9, 0]","[5, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",5,"[0, 4, 7]","[0, 4, 7]_1_[0, 3, 6]","[5, 9, 0]_[6, 9, 0]"
24,"[6, 9, 0]","[0, 4, 7]","[6, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",6,"[0, 3, 6]","[0, 3, 6]_6_[0, 4, 7]","[6, 9, 0]_[0, 4, 7]"
25,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
26,"[2, 5, 9]","[6, 9, 0]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",2,"[0, 3, 7]","[0, 3, 7]_4_[0, 3, 6]","[2, 5, 9]_[6, 9, 0]"
27,"[6, 9, 0]","[0, 4, 7]","[6, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",6,"[0, 3, 6]","[0, 3, 6]_6_[0, 4, 7]","[6, 9, 0]_[0, 4, 7]"
28,"[0, 4, 7]","[7, 11, 2]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",0,"[0, 4, 7]","[0, 4, 7]_7_[0, 4, 7]","[0, 4, 7]_[7, 11, 2]"
29,"[7, 11, 2]","[0, 4, 7]","[7, 11, 2]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[0, 4, 7]",7,"[0, 4, 7]","[0, 4, 7]_5_[0, 4, 7]","[7, 11, 2]_[0, 4, 7]"
30,"[0, 4, 7]","[2, 5, 9]","[0, 4, 7]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[2, 5, 9]",0,"[0, 4, 7]","[0, 4, 7]_2_[0, 3, 7]","[0, 4, 7]_[2, 5, 9]"
31,"[2, 5, 9]","[6, 9, 0]","[2, 5, 9]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[6, 9, 0]",2,"[0, 3, 7]","[0, 3, 7]_4_[0, 3, 6]","[2, 5, 9]_[6, 9, 0]"
32,"[6, 9, 0]","[7, 11, 2]","[6, 9, 0]",beet.rondo,beet,rondo,"[4, 1, 0.5]",0,Major,"[7, 11, 2]",6,"[0, 3, 6]","[0, 3, 6]_1_[0, 4, 7]","[6, 9, 0]_[7, 11, 2]"
